original_id,original_acronym,original_name,target_id,target_acronym
1,TMv,Tuberomammillary nucleus ventral part,1129,IB
2,SSp-m6b,Primary somatosensory area mouth layer 6b,315,Isocortex
4,IC,Inferior colliculus,313,MB
7,PSV,Principal sensory nucleus of the trigeminal,1065,HB
9,SSp-tr6a,Primary somatosensory area trunk layer 6a,315,Isocortex
10,SCig,Superior colliculus motor related intermediate gray layer,313,MB
12,IF,Interfascicular nucleus raphe,313,MB
15,PT,Parataenial nucleus,1129,IB
16,6b,Layer 6b isocortex,703,CTXsp
17,SCiw,Superior colliculus motor related intermediate white layer,313,MB
19,IG,Induseum griseum,1080,HIP
20,ENTl2,Entorhinal area lateral part layer 2,822,RHP
22,PTLp,Posterior parietal association areas,315,Isocortex
23,AAA,Anterior amygdalar area,623,CNU
26,SCdg,Superior colliculus motor related deep gray layer,313,MB
27,IGL,Intergeniculate leaflet of the lateral geniculate complex,1129,IB
28,ENTl6a,Entorhinal area lateral part layer 6a,822,RHP
30,PVa,Periventricular hypothalamic nucleus anterior part,1129,IB
31,ACA,Anterior cingulate area,315,Isocortex
33,VISp6a,Primary visual area layer 6a,315,Isocortex
35,III,Oculomotor nucleus,313,MB
36,GU1,Gustatory areas layer 1,315,Isocortex
38,PVH,Paraventricular hypothalamic nucleus,1129,IB
39,ACAd,Anterior cingulate area dorsal part,315,Isocortex
41,VISpm2/3,posteromedial visual area layer 2/3,315,Isocortex
42,SCdw,Superior colliculus motor related deep white layer,313,MB
44,ILA,Infralimbic area,315,Isocortex
45,SPVOrdm,Spinal nucleus of the trigeminal oral part rostral dorsomedial part,1065,HB
47,PVHam,Paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part,1129,IB
48,ACAv,Anterior cingulate area ventral part,315,Isocortex
50,PRC,Precommissural nucleus,313,MB
51,ILM,Intralaminar nuclei of the dorsal thalamus,1129,IB
52,ENTl3,Entorhinal area lateral part layer 3,822,RHP
53,SPVOmdmd,Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone,1065,HB
55,PVHap,Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part,1129,IB
56,ACB,Nucleus accumbens,623,CNU
58,MT,Medial terminal nucleus of the accessory optic tract,313,MB
59,IMD,Intermediodorsal nucleus of the thalamus,1129,IB
60,ENTl6b,Entorhinal area lateral part layer 6b,822,RHP
61,SPVOmdmv,Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone,1065,HB
63,PVHd,Paraventricular hypothalamic nucleus descending division,1129,IB
64,AD,Anterodorsal nucleus,1129,IB
